country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","23-06-2026 16:00:00",25.204762,85.51496,PM2.5,10,449,49
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","23-06-2026 16:00:00",25.204762,85.51496,NH3,3,3,3
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","23-06-2026 16:00:00",25.7808257,84.7446768,NH3,2,6,3
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","23-06-2026 16:00:00",25.7808257,84.7446768,OZONE,2,6,4
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","23-06-2026 16:00:00",24.7955,84.9994,SO2,NA,NA,NA
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","23-06-2026 16:00:00",24.7955,84.9994,CO,11,12,12
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","23-06-2026 16:00:00",24.7955,84.9994,OZONE,27,29,28
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","23-06-2026 16:00:00",24.762518,84.982348,NO2,14,22,18
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","23-06-2026 16:00:00",24.762518,84.982348,NH3,4,5,5
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","23-06-2026 16:00:00",24.762518,84.982348,SO2,6,12,8
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","23-06-2026 16:00:00",24.792403,84.992416,PM2.5,32,80,59
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","23-06-2026 16:00:00",24.792403,84.992416,NO2,10,13,12
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","23-06-2026 16:00:00",24.792403,84.992416,SO2,40,44,43
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","23-06-2026 16:00:00",25.697189,85.2459,SO2,4,6,5
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","23-06-2026 16:00:00",25.697189,85.2459,OZONE,48,148,113
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","23-06-2026 16:00:00",25.560083,87.553265,NH3,1,1,1
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","23-06-2026 16:00:00",25.560083,87.553265,SO2,19,24,21
India,Assam,Guwahati,"IITG, Guwahati - PCBA","23-06-2026 16:00:00",26.2028636,91.70046436,CO,6,7,7
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","23-06-2026 16:00:00",26.1875,91.744194,NH3,NA,NA,NA
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","23-06-2026 16:00:00",26.1875,91.744194,CO,20,24,22
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","23-06-2026 16:00:00",26.349082,92.68449,PM10,NA,NA,NA
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","23-06-2026 16:00:00",26.349082,92.68449,NO2,NA,NA,NA
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","23-06-2026 16:00:00",26.349082,92.68449,SO2,NA,NA,NA
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","23-06-2026 16:00:00",26.349082,92.68449,CO,8,21,16
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","23-06-2026 16:00:00",26.446912,91.439057,NH3,6,6,6
India,Assam,Silchar,"Tarapur, Silchar - PCBA","23-06-2026 16:00:00",24.82827,92.79525,PM2.5,28,51,42
India,Assam,Silchar,"Tarapur, Silchar - PCBA","23-06-2026 16:00:00",24.82827,92.79525,NO2,15,17,17
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","23-06-2026 16:00:00",26.987634,94.636574,PM2.5,11,19,15
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","23-06-2026 16:00:00",26.987634,94.636574,PM10,23,29,25
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","23-06-2026 16:00:00",26.146529,87.454184,PM10,59,113,83
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","23-06-2026 16:00:00",26.146529,87.454184,NO2,11,16,14
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","23-06-2026 16:00:00",26.0881305,87.93840336,NO2,7,8,7
