date,temperature,rainfall
2024-01-01,21.0,0.0
2024-01-02,20.5,0.0
2024-01-03,21.5,0.0
2024-01-04,21.9,0.0
2024-01-05,21.3,0.0
2024-01-06,21.2,0.0
2024-01-07,21.0,0.0
2024-01-08,21.6,0.0
2024-01-09,22.0,0.0
2024-01-10,21.8,0.5
2024-01-11,23.2,0.0
2024-01-12,23.5,0.0
2024-01-13,23.4,0.0
2024-01-14,23.6,0.0
2024-01-15,23.5,0.0
2024-01-16,23.7,0.0
2024-01-17,23.6,0.0
2024-01-18,22.8,0.0
2024-01-19,23.8,0.0
2024-01-20,23.5,0.0
2024-01-21,23.9,0.0
2024-01-22,24.6,0.0
2024-01-23,24.7,0.0
2024-01-24,24.4,0.0
2024-01-25,22.7,0.0
2024-01-26,23.1,0.0
2024-01-27,22.7,0.0
2024-01-28,22.4,0.0
2024-01-29,22.2,0.0
2024-01-30,22.5,0.0
2024-01-31,23.1,0.0
2024-02-01,23.9,0.0
2024-02-02,24.1,0.0
2024-02-03,24.4,0.2
2024-02-04,25.2,0.0
2024-02-05,25.8,0.0
2024-02-06,26.5,0.0
2024-02-07,26.8,0.0
2024-02-08,26.7,0.0
2024-02-09,25.7,0.0
2024-02-10,25.8,0.0
2024-02-11,25.8,0.0
2024-02-12,25.0,0.0
2024-02-13,24.6,0.0
2024-02-14,25.0,0.0
2024-02-15,24.8,0.0
2024-02-16,24.0,0.0
2024-02-17,24.6,0.0
2024-02-18,25.8,0.0
2024-02-19,26.1,0.0
2024-02-20,26.7,0.0
2024-02-21,26.8,0.0
2024-02-22,25.9,0.0
2024-02-23,25.6,0.0
2024-02-24,26.8,0.1
2024-02-25,26.3,0.4
2024-02-26,26.1,0.1
2024-02-27,26.1,0.0
2024-02-28,25.6,0.0
2024-02-29,26.1,0.0
2024-03-01,27.1,0.0
2024-03-02,28.0,0.0
2024-03-03,28.0,0.0
2024-03-04,27.9,0.0
2024-03-05,27.8,0.0
2024-03-06,29.3,0.0
2024-03-07,28.9,0.0
2024-03-08,28.5,0.0
2024-03-09,29.3,0.0
2024-03-10,28.3,0.2
2024-03-11,28.5,0.0
2024-03-12,29.7,0.0
2024-03-13,31.0,0.0
2024-03-14,29.4,0.0
2024-03-15,29.6,0.0
2024-03-16,28.5,0.4
2024-03-17,27.5,5.7
2024-03-18,27.7,0.9
2024-03-19,28.5,0.2
2024-03-20,26.1,0.2
2024-03-21,26.5,0.0
2024-03-22,27.6,0.0
2024-03-23,29.1,0.0
2024-03-24,29.6,0.0
2024-03-25,28.9,0.0
2024-03-26,29.7,0.0
2024-03-27,29.5,0.0
2024-03-28,30.0,0.0
2024-03-29,30.8,0.0
2024-03-30,30.3,0.0
2024-03-31,29.9,0.0
2024-04-01,31.0,0.0
2024-04-02,30.9,0.0
2024-04-03,31.4,0.0
2024-04-04,31.4,0.0
2024-04-05,32.1,0.0
2024-04-06,32.2,0.0
2024-04-07,32.3,0.0
2024-04-08,31.1,0.0
2024-04-09,29.4,0.0
2024-04-10,30.1,0.0
2024-04-11,29.1,0.0
2024-04-12,27.8,6.3
2024-04-13,28.0,1.8
2024-04-14,30.0,0.0
2024-04-15,30.7,0.0
2024-04-16,31.3,0.0
2024-04-17,31.7,0.1
2024-04-18,32.1,0.0
2024-04-19,32.0,0.1
2024-04-20,30.0,0.5
2024-04-21,30.5,1.7
2024-04-22,30.9,0.0
2024-04-23,30.4,0.0
2024-04-24,30.8,0.0
2024-04-25,31.7,0.0
2024-04-26,32.3,0.0
2024-04-27,32.0,0.0
2024-04-28,33.3,0.0
2024-04-29,32.9,0.0
2024-04-30,33.2,0.0
2024-05-01,33.7,0.0
2024-05-02,32.5,0.0
2024-05-03,32.5,0.0
2024-05-04,33.1,0.0
2024-05-05,33.4,0.0
2024-05-06,33.6,0.0
2024-05-07,29.3,1.6
2024-05-08,29.7,0.8
2024-05-09,29.3,0.8
2024-05-10,27.7,22.9
2024-05-11,30.7,0.0
2024-05-12,30.1,5.1
2024-05-13,29.4,1.6
2024-05-14,29.3,0.5
2024-05-15,29.7,1.0
2024-05-16,28.7,13.5
2024-05-17,27.3,2.3
2024-05-18,27.1,10.7
2024-05-19,27.1,10.3
2024-05-20,28.5,9.2
2024-05-21,29.7,0.2
2024-05-22,29.3,5.5
2024-05-23,30.3,0.0
2024-05-24,32.1,0.0
2024-05-25,31.7,0.5
2024-05-26,32.3,0.2
2024-05-27,31.5,0.0
2024-05-28,31.6,0.0
2024-05-29,32.4,0.0
2024-05-30,32.8,0.0
2024-05-31,33.6,0.0
2024-06-01,33.8,0.0
2024-06-02,29.9,25.2
2024-06-03,27.8,11.9
2024-06-04,28.8,7.4
2024-06-05,26.7,34.1
2024-06-06,27.1,38.3
2024-06-07,26.9,4.5
2024-06-08,26.4,6.3
2024-06-09,26.4,1.6
2024-06-10,25.5,10.6
2024-06-11,25.3,6.0
2024-06-12,25.7,6.2
2024-06-13,26.1,32.4
2024-06-14,25.9,8.7
2024-06-15,27.2,0.8
2024-06-16,27.5,2.1
2024-06-17,27.8,2.8
2024-06-18,27.9,0.4
2024-06-19,27.3,6.5
2024-06-20,27.8,0.6
2024-06-21,27.5,2.8
2024-06-22,25.7,15.8
2024-06-23,27.2,2.5
2024-06-24,27.7,0.1
2024-06-25,27.2,7.9
2024-06-26,26.9,7.4
2024-06-27,25.0,28.0
2024-06-28,25.2,8.9
2024-06-29,26.6,2.2
2024-06-30,25.3,11.8
2024-07-01,26.0,1.0
2024-07-02,26.4,1.8
2024-07-03,26.6,0.0
2024-07-04,27.0,0.1
2024-07-05,26.2,2.4
2024-07-06,25.6,9.9
2024-07-07,25.2,9.3
2024-07-08,24.8,25.9
2024-07-09,25.3,8.6
2024-07-10,26.4,2.1
2024-07-11,26.3,12.0
2024-07-12,26.2,3.3
2024-07-13,25.9,3.6
2024-07-14,24.4,17.7
2024-07-15,24.7,5.4
2024-07-16,25.6,8.8
2024-07-17,25.1,3.6
2024-07-18,24.9,10.8
2024-07-19,23.9,28.3
2024-07-20,23.4,20.6
2024-07-21,24.1,13.5
2024-07-22,24.0,10.2
2024-07-23,24.3,11.9
2024-07-24,23.3,25.7
2024-07-25,23.2,18.2
2024-07-26,23.9,13.5
2024-07-27,23.7,10.5
2024-07-28,25.1,4.8
2024-07-29,25.3,3.8
2024-07-30,26.0,0.0
2024-07-31,26.1,1.5
2024-08-01,25.5,3.7
2024-08-02,24.5,11.5
2024-08-03,25.4,0.4
2024-08-04,25.2,4.9
2024-08-05,25.8,0.5
2024-08-06,25.2,5.5
2024-08-07,23.5,22.2
2024-08-08,24.6,7.9
2024-08-09,25.3,3.6
2024-08-10,26.0,0.4
2024-08-11,25.8,0.2
2024-08-12,24.9,39.0
2024-08-13,26.2,2.2
2024-08-14,27.0,0.2
2024-08-15,26.5,1.1
2024-08-16,25.4,26.6
2024-08-17,26.4,3.2
2024-08-18,26.5,7.8
2024-08-19,25.2,17.3
2024-08-20,25.5,8.2
2024-08-21,26.7,7.4
2024-08-22,25.7,6.9
2024-08-23,25.5,0.2
2024-08-24,24.3,12.7
2024-08-25,24.1,9.1
2024-08-26,25.0,1.8
2024-08-27,25.1,4.0
2024-08-28,25.3,3.3
2024-08-29,25.1,1.0
2024-08-30,23.8,15.9
2024-08-31,23.1,25.0
2024-09-01,22.4,72.0
2024-09-02,23.5,19.6
2024-09-03,24.6,8.8
2024-09-04,24.4,7.9
2024-09-05,25.1,3.7
2024-09-06,25.2,2.9
2024-09-07,24.0,10.3
2024-09-08,23.7,16.1
2024-09-09,23.5,12.9
2024-09-10,25.1,2.5
2024-09-11,25.1,0.1
2024-09-12,25.1,0.0
2024-09-13,24.8,0.0
2024-09-14,24.9,0.0
2024-09-15,25.2,0.0
2024-09-16,24.5,0.8
2024-09-17,25.2,0.0
2024-09-18,24.8,0.1
2024-09-19,25.5,0.0
2024-09-20,25.8,0.4
2024-09-21,24.9,6.1
2024-09-22,24.7,2.4
2024-09-23,24.8,20.0
2024-09-24,25.2,13.6
2024-09-25,24.7,14.6
2024-09-26,24.8,8.6
2024-09-27,25.3,0.0
2024-09-28,25.5,0.0
2024-09-29,26.1,0.8
2024-09-30,25.8,3.7
2024-10-01,26.4,2.7
2024-10-02,26.4,3.1
2024-10-03,26.1,1.1
2024-10-04,25.8,0.1
2024-10-05,24.9,2.2
2024-10-06,25.6,1.4
2024-10-07,25.4,2.1
2024-10-08,25.2,0.2
2024-10-09,25.2,2.7
2024-10-10,25.0,1.4
2024-10-11,24.9,1.7
2024-10-12,24.9,4.4
2024-10-13,25.2,2.7
2024-10-14,25.1,0.2
2024-10-15,24.6,11.0
2024-10-16,24.8,6.6
2024-10-17,25.0,7.8
2024-10-18,25.1,2.6
2024-10-19,25.3,0.9
2024-10-20,24.4,5.9
2024-10-21,24.8,1.2
2024-10-22,24.2,6.1
2024-10-23,24.9,0.0
2024-10-24,24.3,0.0
2024-10-25,24.2,0.0
2024-10-26,24.4,0.4
2024-10-27,24.5,0.0
2024-10-28,24.7,0.0
2024-10-29,25.4,0.1
2024-10-30,24.4,6.5
2024-10-31,24.4,11.3
2024-11-01,24.4,6.1
2024-11-02,24.4,1.6
2024-11-03,24.3,1.2
2024-11-04,24.5,0.0
2024-11-05,24.1,0.0
2024-11-06,23.8,0.0
2024-11-07,23.3,0.0
2024-11-08,23.8,0.0
2024-11-09,23.7,0.0
2024-11-10,24.1,0.0
2024-11-11,23.7,0.0
2024-11-12,25.4,0.0
2024-11-13,26.3,0.0
2024-11-14,25.1,1.0
2024-11-15,26.1,1.4
2024-11-16,26.0,0.0
2024-11-17,24.8,0.0
2024-11-18,23.9,0.0
2024-11-19,23.6,0.0
2024-11-20,23.3,0.0
2024-11-21,23.6,0.0
2024-11-22,23.6,0.0
2024-11-23,23.4,0.0
2024-11-24,23.5,0.0
2024-11-25,22.7,0.0
2024-11-26,23.3,0.0
2024-11-27,22.8,0.0
2024-11-28,22.0,0.0
2024-11-29,23.3,0.0
2024-11-30,24.7,0.0
2024-12-01,24.7,0.7
2024-12-02,23.7,4.2
2024-12-03,23.6,3.5
2024-12-04,24.7,0.8
2024-12-05,23.9,12.2
2024-12-06,24.7,3.1
2024-12-07,25.1,1.4
2024-12-08,24.5,1.1
2024-12-09,24.3,1.0
2024-12-10,23.8,0.6
2024-12-11,22.5,0.0
2024-12-12,22.2,0.0
2024-12-13,22.2,0.0
